ID,Name,Department,Math,Physics,English
1,Habiba Hassan,Commerce,65,64,58
2,Mohamed Ramzy,Science,87,77,52
3,Sara Khaled,Arts,64,82,88
4,Sara Farouk,Arts,95,91,94
5,Alia Hisham,Arts,78,87,67
6,Ahmed Sabry,Arts,94,77,71
7,Hazem Ali,Arts,98,71,56
8,Nour Fouad,Science,72,72,88
9,Rana Anwar,Science,96,79,84
10,Habiba Rashad,Engineering,55,85,68
11,Amir Hosny,Commerce,86,62,95
12,Youssef Mostafa,Arts,99,68,55
13,Hossam Zaki,Science,74,67,79
14,Sherif Adel,Commerce,72,63,92
15,Hazem Hamdy,Science,88,90,60
16,Alia Naguib,Arts,60,79,74
17,Hazem Rashad,Arts,93,70,99
18,Laila Salah,Science,70,75,67
19,Youssef Tarek,Commerce,63,91,81
20,Waleed Hosny,Engineering,59,66,58
21,Mostafa Naguib,Commerce,97,87,77
22,Ahmed Fouad,Commerce,64,58,82
23,Adham Khaled,Science,57,59,90
24,Amr Anwar,Engineering,88,54,74
25,Nada Shawky,Engineering,83,66,85
26,Ahmed Ramzy,Science,93,84,98
27,Hazem Sabry,Commerce,57,68,77
28,Amr Adly,Science,96,96,66
29,Reem Sabry,Arts,82,56,90
30,Khaled Fahmy,Arts,59,73,98
31,Amr Farouk,Science,88,70,81
32,Sara Ibrahim,Commerce,69,65,53
33,Mostafa Hosny,Science,55,96,81
34,Youssef Sabry,Arts,58,92,80
35,Hassan Adel,Commerce,83,88,77
36,Yara Rashad,Arts,95,69,75
37,Sherif Adly,Engineering,57,65,64
38,Youssef Nabil,Science,87,85,64
39,Ahmed Salah,Science,54,95,90
40,Laila Salah,Science,52,71,54
41,Reem Salah,Commerce,92,81,63
42,Alia Ali,Engineering,65,100,80
43,Heba Tarek,Science,56,92,77
44,Farida Hisham,Engineering,79,96,53
45,Mohamed Mostafa,Engineering,96,71,56
46,Mostafa Tarek,Arts,84,78,58
47,Ziad Adel,Commerce,79,65,54
48,Rawan Anwar,Science,53,91,84
49,Ahmed Khaled,Arts,60,76,81
50,Marwa Tarek,Engineering,53,60,74
51,Ahmed Fouad,Commerce,100,100,79
52,Salma Hisham,Engineering,59,62,68
53,Yara Mostafa,Science,97,70,53
54,Laila Gaber,Engineering,82,83,60
55,Laila Kamal,Science,61,54,88
56,Youssef Ramzy,Arts,75,57,86
57,Mostafa Gaber,Science,89,55,76
58,Ahmed Gaber,Commerce,66,63,92
59,Aya Salah,Commerce,75,58,92
60,Khaled Adly,Commerce,98,54,50
61,Ibrahim Shawky,Science,54,84,63
62,Reem Fathy,Arts,72,54,65
63,Sherif Reda,Arts,78,84,95
64,Khaled Shawky,Science,92,85,69
65,Mohamed Hosny,Arts,66,57,56
66,Hassan Ali,Commerce,68,88,63
67,Mahmoud Tarek,Commerce,82,81,66
68,Laila Khaled,Engineering,67,52,50
69,Mahmoud Sabry,Arts,90,66,60
70,Rawan Farouk,Engineering,85,50,57
71,Youssef Hosny,Arts,84,52,73
72,Ahmed Farouk,Arts,77,58,52
73,Khaled Samir,Science,72,63,93
74,Mostafa Ramzy,Science,72,99,85
75,Heba Shawky,Arts,65,60,61
76,Heba Hassan,Arts,97,71,100
